Learner_ID,Learner_Segment,Current_Plan,Current_Fee,Completion_Rate,Weekly_Hours,Last_Login_Days,Renewed_Last_Cycle,Recommended_Action,Recommended_Discount_Pct,Reason
L00393,College Student,Standard,599,0.5,7.2,14,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00394,Casual Learner,Basic,299,0.2,2.7,54,N,CS Outreach Before Upsell,0,High support ticket volume (5) needs resolution first
L00395,Casual Learner,Basic,299,0.27,2.9,60,N,Renewal Reminder,0,No login in 60 days
L00396,Casual Learner,Basic,299,0.45,0.6,27,N,Onboarding Nudge - No Discount,0,"New learner (1 month(s)) with only 1 logins/month - needs onboarding, not a discount"
L00397,College Student,Standard,599,0.6,6,7,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00398,College Student,Basic,299,1,3.9,24,Y,Student Discount (15%),15,College Student with strong 100.0% completion - budget-sensitive segment
L00399,Power Learner,Premium,1499,1,11.4,1,Y,Recommend Premium,0,Power Learner with 100.0% completion rate
L00400,College Student,Basic,299,0.73,3,0,Y,Recommend Upgrade to Standard,15,On Basic but logging in 14x/month with 73.0% completion
L00401,Working Professional,Standard,599,0.57,8.7,17,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 12 months with consistent renewals
L00402,Certification Seeker,Standard,599,0.83,8,11,Y,Recommend Pro (Certification Value),0,Certification Seeker with 83.0% completion - values credentialing
L00403,College Student,Standard,599,0.36,6.4,31,Y,Low-Intent Discount User - No Further Discount,0,"Coupon user with low 36.0% completion - signals low intent, not price sensitivity"
L00404,Power Learner,Standard,599,1,16.4,3,Y,Recommend Premium,0,Power Learner with 100.0% completion rate
L00405,Casual Learner,Pro,999,0,1,49,N,Renewal Reminder,0,No login in 49 days
L00406,Certification Seeker,Basic,299,0.6,3.2,25,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (60.0% completion, 3.2 hrs/week) - no action needed yet"
L00407,Casual Learner,Basic,299,0.4,2.9,35,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00408,Working Professional,Pro,999,0.67,8.2,5,N,Recommend Premium (Power Usage),0,Completed 10 courses - power usage on a non-Premium plan
L00409,Career Switcher,Premium,1499,0.7,5,2,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (70.0% completion, 5 hrs/week) - no action needed yet"
L00410,College Student,Basic,299,0.38,6.3,38,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00411,College Student,Premium,1499,0.46,6.3,32,Y,Verify Extended Student Eligibility,0,Age 19 on Premium - confirm still eligible for extended student pricing
L00412,College Student,Basic,299,0.43,8.5,23,Y,Do Not Extend Discount Next Cycle,0,Received 22% discount but only 43.0% completion - discount not driving engagement
L00413,College Student,Standard,599,0.6,5.6,15,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (60.0% completion, 5.6 hrs/week) - no action needed yet"
L00414,Certification Seeker,Standard,599,1,6.7,12,N,Recommend Pro (Certification Value),10,Certification Seeker with 100.0% completion - values credentialing
L00415,College Student,Basic,299,0.4,5.2,40,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (40.0% completion, 5.2 hrs/week) - no action needed yet"
L00416,Certification Seeker,Pro,999,0.8,7.4,25,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00417,Career Switcher,Pro,999,0.57,5.1,7,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (57.0% completion, 5.1 hrs/week) - no action needed yet"
L00418,College Student,Standard,599,0.5,7.7,28,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00419,College Student,Basic,299,1,4.1,36,N,Offer Loyalty Discount (10%),10,"Engaged (100.0% completion) but did not renew - likely a price objection, not a satisfaction issue"
L00420,Working Professional,Premium,1499,0.57,6.3,16,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00421,Working Professional,Premium,1499,0.5,6.3,19,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00422,Working Professional,Pro,999,0.67,9.2,7,Y,Recommend Premium (Power Usage),10,Completed 10 courses - power usage on a non-Premium plan
L00423,Working Professional,Pro,999,0.67,8.1,9,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00424,Working Professional,Standard,599,0.75,4.7,3,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00425,Casual Learner,Basic,299,0.14,2.8,44,N,CS Outreach Before Upsell,0,High support ticket volume (4) needs resolution first
L00426,Career Switcher,Pro,999,0.75,5.9,5,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00427,Working Professional,Pro,999,0.5,5.1,4,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00428,College Student,Premium,1499,0.5,4.6,10,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00429,Power Learner,Premium,1499,0.8,19.8,2,Y,Recommend Annual Plan,0,Power Learner active for 9 months - strong annual-plan candidate
L00430,College Student,Standard,599,0.62,4.2,39,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (62.0% completion, 4.2 hrs/week) - no action needed yet"
L00431,Casual Learner,Basic,299,0.25,2.9,85,N,CS Outreach Before Upsell,20,High support ticket volume (3) needs resolution first
L00432,Casual Learner,Basic,299,0.5,1.7,77,N,CS Outreach Before Upsell,20,High support ticket volume (3) needs resolution first
L00433,Casual Learner,Standard,599,0.29,0.8,58,Y,Renewal Reminder,0,No login in 58 days
L00434,Career Switcher,Pro,999,0.57,9,6,N,Recommend Pro,0,Career Switcher investing 9 hrs/week - high intent to reskill
L00435,Working Professional,Pro,999,0.64,5.3,4,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (64.0% completion, 5.3 hrs/week) - no action needed yet"
L00436,Certification Seeker,Premium,1499,0.5,4.2,24,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00437,Certification Seeker,Standard,599,0.67,3.1,5,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (67.0% completion, 3.1 hrs/week) - no action needed yet"
L00438,College Student,Basic,299,0.45,6.5,32,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00439,Certification Seeker,Basic,299,0.6,4.8,0,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00440,Certification Seeker,Standard,599,0.78,7,19,Y,Recommend Upgrade to Pro,0,On Standard but completing 78.0% at 7 hrs/week - outgrowing current plan
L00441,College Student,Basic,299,0.5,4.5,38,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (50.0% completion, 4.5 hrs/week) - no action needed yet"
L00442,Casual Learner,Basic,299,0.15,3.9,34,Y,Low-Intent Discount User - No Further Discount,0,"Coupon user with low 15.0% completion - signals low intent, not price sensitivity"
L00443,Career Switcher,Premium,1499,0.69,5.5,0,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (69.0% completion, 5.5 hrs/week) - no action needed yet"
L00444,College Student,Basic,299,0.5,7.5,15,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00445,Power Learner,Premium,1499,1,18.5,2,Y,Recommend Premium,0,Power Learner with 100.0% completion rate
L00446,Power Learner,Premium,1499,0.83,11.2,1,Y,Recommend Premium,0,Power Learner with 83.0% completion rate
L00447,College Student,Standard,599,0.71,3.6,18,Y,Student Discount (15%),15,College Student with strong 71.0% completion - budget-sensitive segment
L00448,Power Learner,Premium,1499,0.83,16.8,1,Y,Recommend Premium,0,Power Learner with 83.0% completion rate
L00449,Power Learner,Pro,999,0.92,17.3,2,Y,Recommend Premium,0,Power Learner with 92.0% completion rate
L00450,Career Switcher,Standard,599,0.64,5.8,15,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (64.0% completion, 5.8 hrs/week) - no action needed yet"
L00451,Certification Seeker,Standard,599,0.77,4.6,19,Y,Recommend Premium (Power Usage),0,Completed 10 courses - power usage on a non-Premium plan
L00452,Career Switcher,Pro,999,1,8.8,13,Y,Recommend Pro,0,Career Switcher investing 8.8 hrs/week - high intent to reskill
L00453,College Student,Standard,599,0.7,4.2,31,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (70.0% completion, 4.2 hrs/week) - no action needed yet"
L00454,College Student,Standard,599,0,6.3,18,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00455,Casual Learner,Basic,299,0,4,64,N,High Churn Risk - Win-Back Offer,20,Inactive for 64 days and did not renew last cycle
L00456,College Student,Basic,299,0.8,8,32,Y,Recommend Upgrade to Pro,15,On Basic but completing 80.0% at 8 hrs/week - outgrowing current plan
L00457,Working Professional,Standard,599,0.82,5.2,16,N,Offer Loyalty Discount (10%),10,"Engaged (82.0% completion) but did not renew - likely a price objection, not a satisfaction issue"
L00458,College Student,Basic,299,0.7,4.1,25,N,Recommend Upgrade to Standard,0,On Basic but logging in 13x/month with 70.0% completion
L00459,College Student,Basic,299,0.71,6.6,32,Y,Student Discount (15%),15,College Student with strong 71.0% completion - budget-sensitive segment
L00460,College Student,Pro,999,0.55,6.9,36,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00461,Career Switcher,Pro,999,0.69,8.2,4,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00462,Certification Seeker,Standard,599,0.71,6.2,21,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00463,Casual Learner,Basic,299,0,2,45,Y,CS Outreach Before Upsell,0,High support ticket volume (5) needs resolution first
L00464,Certification Seeker,Pro,999,0.86,4.6,2,N,Recommend Pro (Certification Value),10,Certification Seeker with 86.0% completion - values credentialing
L00465,Casual Learner,Basic,299,0.2,3.8,87,N,CS Outreach Before Upsell,20,High support ticket volume (3) needs resolution first
L00466,Casual Learner,Basic,299,0.21,1.1,76,N,CS Outreach Before Upsell,20,High support ticket volume (5) needs resolution first
L00467,Power Learner,Premium,1499,0.83,18.8,2,N,Recommend Premium,10,Power Learner with 83.0% completion rate
L00468,Career Switcher,Pro,999,0.75,9.5,3,N,Recommend Pro,10,Career Switcher investing 9.5 hrs/week - high intent to reskill
L00469,Working Professional,Premium,1499,0.73,5.8,14,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00470,College Student,Pro,999,0.67,7,10,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00471,Casual Learner,Standard,599,0,0.5,59,N,CS Outreach Before Upsell,0,High support ticket volume (5) needs resolution first
L00472,Casual Learner,Standard,599,0.5,1.4,61,N,CS Outreach Before Upsell,20,High support ticket volume (3) needs resolution first
L00473,Certification Seeker,Premium,1499,1,6.1,2,Y,Recommend Pro (Certification Value),0,Certification Seeker with 100.0% completion - values credentialing
L00474,Working Professional,Premium,1499,0.71,9.7,0,Y,Recommend Premium,0,Working Professional averaging 9.7 hrs/week with 71.0% completion
L00475,Casual Learner,Standard,599,0.4,1,47,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00476,Casual Learner,Basic,299,0.12,3.7,78,N,High Churn Risk - Win-Back Offer,20,Inactive for 78 days and did not renew last cycle
L00477,Casual Learner,Basic,299,0.33,0.7,50,N,Renewal Reminder,0,No login in 50 days
L00478,Career Switcher,Standard,599,0.5,5.3,8,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (50.0% completion, 5.3 hrs/week) - no action needed yet"
L00479,Casual Learner,Basic,299,0.33,3.9,55,N,CS Outreach Before Upsell,0,High support ticket volume (5) needs resolution first
L00480,Certification Seeker,Pro,999,0.89,6.7,24,Y,Recommend Pro (Certification Value),0,Certification Seeker with 89.0% completion - values credentialing
L00481,College Student,Basic,299,0.33,5.3,31,Y,CS Outreach Before Upsell,0,High support ticket volume (4) needs resolution first
L00482,Certification Seeker,Basic,299,0.8,3.9,23,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00483,Career Switcher,Pro,999,0.55,5.7,0,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (55.0% completion, 5.7 hrs/week) - no action needed yet"
L00484,College Student,Standard,599,0.73,6.2,21,N,Offer Loyalty Discount (10%),10,"Engaged (73.0% completion) but did not renew - likely a price objection, not a satisfaction issue"
L00485,Power Learner,Premium,1499,0.9,12.8,0,Y,Recommend Premium,0,Power Learner with 90.0% completion rate
L00486,Power Learner,Premium,1499,0.91,13.9,2,N,Recommend Premium,10,Power Learner with 91.0% completion rate
L00487,Career Switcher,Pro,999,0.6,8.1,15,Y,Recommend Pro,0,Career Switcher investing 8.1 hrs/week - high intent to reskill
L00488,Working Professional,Pro,999,0.73,8.1,15,Y,Recommend Premium,0,Working Professional averaging 8.1 hrs/week with 73.0% completion
L00489,Certification Seeker,Premium,1499,0.7,7.5,16,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00490,Working Professional,Standard,599,0.55,4.5,0,Y,CS Outreach Before Upsell,10,High support ticket volume (3) needs resolution first
L00491,Working Professional,Pro,999,0.83,8.5,19,Y,Recommend Premium,0,Working Professional averaging 8.5 hrs/week with 83.0% completion
L00492,Casual Learner,Basic,299,0.12,0.5,21,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00493,Power Learner,Standard,599,1,10.1,0,Y,Recommend Premium,0,Power Learner with 100.0% completion rate
L00494,Career Switcher,Basic,299,0.53,6,0,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00495,Working Professional,Pro,999,0.75,4.3,3,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00496,Career Switcher,Pro,999,1,9.1,15,Y,Recommend Pro,0,Career Switcher investing 9.1 hrs/week - high intent to reskill
L00497,College Student,Basic,299,1,8.6,28,Y,Recommend Upgrade to Pro,15,On Basic but completing 100.0% at 8.6 hrs/week - outgrowing current plan
L00498,Working Professional,Standard,599,0.82,8.3,13,N,Recommend Premium,10,Working Professional averaging 8.3 hrs/week with 82.0% completion
L00499,Certification Seeker,Pro,999,0.77,3.9,19,Y,Recommend Premium (Power Usage),0,Completed 10 courses - power usage on a non-Premium plan
L00500,Career Switcher,Pro,999,0.67,6.2,1,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00501,Working Professional,Pro,999,0.5,5.6,16,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00502,Casual Learner,Standard,599,0.4,2.3,35,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00503,College Student,Standard,599,1,7.9,26,Y,Recommend Upgrade to Pro,15,On Standard but completing 100.0% at 7.9 hrs/week - outgrowing current plan
L00504,College Student,Standard,599,0.67,3.1,26,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00505,Power Learner,Premium,1499,0.83,17.2,0,Y,Recommend Premium,0,Power Learner with 83.0% completion rate
L00506,Casual Learner,Pro,999,0.27,3.3,57,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00507,College Student,Basic,299,0.58,8.2,39,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00508,College Student,Standard,599,0.5,8.2,34,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00509,Certification Seeker,Pro,999,0.79,6.6,3,Y,Recommend Premium (Power Usage),0,Completed 11 courses - power usage on a non-Premium plan
L00510,Career Switcher,Pro,999,0.6,8.2,7,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00511,College Student,Standard,599,0.43,7,5,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00512,Working Professional,Premium,1499,0.75,7,14,Y,Recommend Premium,10,Working Professional averaging 7 hrs/week with 75.0% completion
L00513,College Student,Pro,999,1,8,13,Y,Student Discount (15%),15,College Student with strong 100.0% completion - budget-sensitive segment
L00514,Working Professional,Basic,299,0.62,4.7,11,N,Recommend Upgrade to Standard,0,On Basic but logging in 12x/month with 62.0% completion
L00515,Working Professional,Pro,999,1,4,11,N,Offer Loyalty Discount (10%),10,"Engaged (100.0% completion) but did not renew - likely a price objection, not a satisfaction issue"
L00516,Casual Learner,Standard,599,0.17,2.7,77,N,CS Outreach Before Upsell,20,High support ticket volume (4) needs resolution first
L00517,Working Professional,Pro,999,0.69,4.5,0,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 11 months with consistent renewals
L00518,College Student,Standard,599,0,8.3,34,N,Low-Intent Discount User - No Further Discount,0,"Coupon user with low 0.0% completion - signals low intent, not price sensitivity"
L00519,Career Switcher,Pro,999,0.56,7.4,13,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00520,College Student,Basic,299,0.33,3.1,10,Y,CS Outreach Before Upsell,0,High support ticket volume (4) needs resolution first
L00521,College Student,Pro,999,0.62,2.4,38,Y,Verify Extended Student Eligibility,0,Age 20 on Pro - confirm still eligible for extended student pricing
L00522,Working Professional,Basic,299,0.7,5.4,8,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 11 months with consistent renewals
L00523,Working Professional,Pro,999,0.71,6.2,7,Y,Recommend Premium,0,Working Professional averaging 6.2 hrs/week with 71.0% completion
L00524,Working Professional,Basic,299,0.86,5.6,12,Y,Recommend Premium (Power Usage),0,Completed 12 courses - power usage on a non-Premium plan
L00525,Career Switcher,Pro,999,0.75,10.8,8,Y,Recommend Pro,0,Career Switcher investing 10.8 hrs/week - high intent to reskill
L00526,Power Learner,Pro,999,0.75,13.4,2,N,Recommend Annual Plan,10,Power Learner active for 6 months - strong annual-plan candidate
L00527,Career Switcher,Pro,999,0.67,5.6,2,Y,Recommend Premium (Power Usage),0,Completed 10 courses - power usage on a non-Premium plan
L00528,Casual Learner,Basic,299,0.25,3.9,79,N,CS Outreach Before Upsell,20,High support ticket volume (3) needs resolution first
L00529,Casual Learner,Standard,599,0.12,1.3,66,N,High Churn Risk - Win-Back Offer,20,Inactive for 66 days and did not renew last cycle
L00530,Certification Seeker,Pro,999,0.82,3.9,21,Y,Recommend Pro (Certification Value),0,Certification Seeker with 82.0% completion - values credentialing
L00531,Casual Learner,Standard,599,0.42,3.2,22,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00532,Working Professional,Standard,599,0.67,5.6,14,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (67.0% completion, 5.6 hrs/week) - no action needed yet"
L00533,Working Professional,Standard,599,0.86,4.5,7,Y,Referral Program Candidate,0,Highly active (logged in 7 day(s) ago) with 86.0% completion - strong advocate potential
L00534,Working Professional,Pro,999,0.62,7.6,8,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00535,Working Professional,Pro,999,0.87,6.7,2,Y,Recommend Premium (Power Usage),10,Completed 13 courses - power usage on a non-Premium plan
L00536,Casual Learner,Basic,299,0.43,0.7,57,N,Renewal Reminder,0,No login in 57 days
L00537,Working Professional,Standard,599,0.75,8.7,16,N,Recommend Premium,10,Working Professional averaging 8.7 hrs/week with 75.0% completion
L00538,College Student,Basic,299,0,6.3,15,N,CS Outreach Before Upsell,0,High support ticket volume (5) needs resolution first
L00539,Casual Learner,Basic,299,0.44,2.6,67,N,High Churn Risk - Win-Back Offer,20,Inactive for 67 days and did not renew last cycle
L00540,Casual Learner,Basic,299,0.18,2.7,28,N,CS Outreach Before Upsell,0,High support ticket volume (5) needs resolution first
L00541,Certification Seeker,Standard,599,1,3.5,15,Y,Recommend Pro (Certification Value),0,Certification Seeker with 100.0% completion - values credentialing
L00542,College Student,Basic,299,0.33,7.8,23,Y,CS Outreach Before Upsell,0,High support ticket volume (4) needs resolution first
L00543,Career Switcher,Standard,599,0.56,6.2,5,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00544,College Student,Basic,299,0.5,4.4,19,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00545,College Student,Basic,299,0.55,6.9,38,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00546,Working Professional,Premium,1499,0.77,9.3,2,Y,Recommend Premium,10,Working Professional averaging 9.3 hrs/week with 77.0% completion
L00547,Casual Learner,Basic,299,0.25,1.1,67,N,CS Outreach Before Upsell,20,High support ticket volume (4) needs resolution first
L00548,Working Professional,Standard,599,0.57,6.7,12,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00549,College Student,Standard,599,0.57,6.1,32,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00550,Working Professional,Standard,599,0.78,6.2,9,N,Recommend Premium,10,Working Professional averaging 6.2 hrs/week with 78.0% completion
L00551,College Student,Standard,599,0.5,3.4,16,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (50.0% completion, 3.4 hrs/week) - no action needed yet"
L00552,Power Learner,Premium,1499,0.92,18.2,3,N,Recommend Premium,10,Power Learner with 92.0% completion rate
L00553,College Student,Basic,299,0.5,7.5,29,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00554,Certification Seeker,Pro,999,0.86,4.5,15,Y,Recommend Premium (Power Usage),0,Completed 12 courses - power usage on a non-Premium plan
L00555,Casual Learner,Basic,299,0.17,2.5,37,Y,CS Outreach Before Upsell,0,High support ticket volume (4) needs resolution first
L00556,Working Professional,Pro,999,1,7.4,20,N,Recommend Premium,10,Working Professional averaging 7.4 hrs/week with 100.0% completion
L00557,Career Switcher,Basic,299,0.5,7,9,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00558,Certification Seeker,Premium,1499,0.6,5.7,23,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (60.0% completion, 5.7 hrs/week) - no action needed yet"
L00559,Casual Learner,Basic,299,0,2.6,78,N,High Churn Risk - Win-Back Offer,20,Inactive for 78 days and did not renew last cycle
L00560,Career Switcher,Premium,1499,0.8,8.2,1,Y,Recommend Pro,0,Career Switcher investing 8.2 hrs/week - high intent to reskill
L00561,Casual Learner,Basic,299,0.27,3.6,75,N,CS Outreach Before Upsell,20,High support ticket volume (4) needs resolution first
L00562,College Student,Standard,599,0.54,6.9,31,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00563,Working Professional,Standard,599,0.58,7,0,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00564,Working Professional,Basic,299,0.75,8.3,10,Y,Recommend Premium,0,Working Professional averaging 8.3 hrs/week with 75.0% completion
L00565,College Student,Standard,599,0.4,3.2,38,N,Do Not Extend Discount Next Cycle,0,Received 25% discount but only 40.0% completion - discount not driving engagement
L00566,College Student,Basic,299,0.42,7,34,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00567,Working Professional,Pro,999,1,9.6,7,Y,Recommend Premium,0,Working Professional averaging 9.6 hrs/week with 100.0% completion
L00568,Career Switcher,Pro,999,0.5,6.2,1,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00569,Certification Seeker,Standard,599,0.67,4.8,0,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (67.0% completion, 4.8 hrs/week) - no action needed yet"
L00570,College Student,Basic,299,0.5,4.9,31,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (50.0% completion, 4.9 hrs/week) - no action needed yet"
L00571,Career Switcher,Standard,599,1,7.2,15,Y,Recommend Upgrade to Pro,0,On Standard but completing 100.0% at 7.2 hrs/week - outgrowing current plan
L00572,Casual Learner,Basic,299,0.14,3.2,59,N,Renewal Reminder,0,No login in 59 days
L00573,Working Professional,Standard,599,0.67,5.4,10,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00574,Working Professional,Standard,599,0.71,7.2,7,Y,Recommend Premium,0,Working Professional averaging 7.2 hrs/week with 71.0% completion
L00575,College Student,Basic,299,0.44,8.6,5,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00576,Working Professional,Pro,999,0.62,6.5,9,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00577,Working Professional,Standard,599,0.77,6.5,4,N,Recommend Premium (Power Usage),10,Completed 10 courses - power usage on a non-Premium plan
L00578,Casual Learner,Basic,299,0.29,1.4,59,N,Renewal Reminder,0,No login in 59 days
L00579,Casual Learner,Basic,299,0.29,3.1,82,N,CS Outreach Before Upsell,20,High support ticket volume (4) needs resolution first
L00580,Career Switcher,Premium,1499,0.57,7.7,5,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00581,Working Professional,Pro,999,1,6.9,20,Y,Recommend Premium,0,Working Professional averaging 6.9 hrs/week with 100.0% completion
L00582,Power Learner,Premium,1499,0.91,18.4,0,Y,Recommend Premium,0,Power Learner with 91.0% completion rate
L00583,Power Learner,Pro,999,0.92,12.5,3,Y,Recommend Premium,0,Power Learner with 92.0% completion rate
L00584,Casual Learner,Standard,599,0.43,1.9,20,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00585,Casual Learner,Basic,299,0.38,1.2,84,N,High Churn Risk - Win-Back Offer,20,Inactive for 84 days and did not renew last cycle
L00586,Casual Learner,Premium,1499,0.33,2,33,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00587,College Student,Standard,599,0.62,2.1,0,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00588,College Student,Standard,599,0.67,6.2,23,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00589,Working Professional,Pro,999,0.5,6.7,4,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00590,Career Switcher,Pro,999,0.71,11.9,0,Y,Recommend Premium (Power Usage),0,Completed 10 courses - power usage on a non-Premium plan
L00591,Working Professional,Standard,599,0.75,9.9,12,Y,Recommend Premium,0,Working Professional averaging 9.9 hrs/week with 75.0% completion
L00592,College Student,Pro,999,0.33,5.4,15,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00593,Casual Learner,Standard,599,0.45,3,80,N,High Churn Risk - Win-Back Offer,20,Inactive for 80 days and did not renew last cycle
L00594,Working Professional,Pro,999,0.78,9.5,20,Y,Recommend Premium,0,Working Professional averaging 9.5 hrs/week with 78.0% completion
L00595,College Student,Basic,299,0.5,8.6,36,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00596,Career Switcher,Pro,999,1,11.5,7,Y,Recommend Pro,0,Career Switcher investing 11.5 hrs/week - high intent to reskill
L00597,Power Learner,Pro,999,0.8,11.5,0,N,Offer Loyalty Discount (10%),10,"Engaged (80.0% completion) but did not renew - likely a price objection, not a satisfaction issue"
L00598,Casual Learner,Basic,299,0.5,0.7,39,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00599,Casual Learner,Basic,299,0.33,3.7,22,Y,CS Outreach Before Upsell,0,High support ticket volume (4) needs resolution first
L00600,Career Switcher,Pro,999,0.7,7.8,10,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00601,College Student,Basic,299,0.5,3.5,0,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00602,Working Professional,Standard,599,0.82,5.1,3,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00603,Working Professional,Standard,599,0.77,8.1,20,N,Recommend Premium (Power Usage),10,Completed 10 courses - power usage on a non-Premium plan
L00604,Career Switcher,Basic,299,0.5,5.6,7,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (50.0% completion, 5.6 hrs/week) - no action needed yet"
L00605,College Student,Standard,599,0.33,6.9,36,N,CS Outreach Before Upsell,0,High support ticket volume (4) needs resolution first
