Learner_ID,Age,Profession,Region,Learner_Segment,Subscription_Plan,Monthly_Fee,Months_Active,Courses_Enrolled,Courses_Completed,Completion_Rate,Weekly_Hours,Login_Frequency,Last_Login_Days,Coupon_Used,Discount_Availed,Payment_Mode,Support_Tickets,Renewed_Last_Cycle
L00222,40,Ex-Teacher,Ahmedabad,Career Switcher,Premium,1499,3,6,3,0.5,9.3,14,5,N,0,Card,3,N
L00223,41,Part-time Worker,Pune,Casual Learner,Standard,599,5,14,4,0.29,1.3,1,70,Y,11,UPI,4,N
L00224,37,Consultant,Bengaluru,Certification Seeker,Basic,299,3,5,4,0.8,6.2,7,15,N,0,Wallet,1,N
L00225,23,Student,Delhi NCR,College Student,Basic,299,7,8,4,0.5,4.6,11,2,Y,27,UPI,1,N
L00226,27,Ex-Marketer,Ahmedabad,Career Switcher,Premium,1499,10,7,5,0.71,6.6,8,12,N,0,Wallet,0,Y
L00227,23,Student,Delhi NCR,College Student,Basic,299,8,3,2,0.67,3.2,6,13,Y,12,Wallet,1,N
L00228,33,Ex-Marketer,Bengaluru,Career Switcher,Basic,299,9,15,10,0.67,7.8,13,8,N,0,Wallet,0,Y
L00229,22,Student,Bengaluru,College Student,Standard,599,2,5,4,0.8,7.5,12,22,Y,20,Wallet,0,Y
L00230,33,HR Executive,Ahmedabad,Working Professional,Basic,299,6,15,12,0.8,8.1,8,15,N,0,Netbanking,1,Y
L00231,25,Consultant,Delhi NCR,Certification Seeker,Standard,599,12,10,8,0.8,5.2,11,8,N,0,Card,1,Y
L00232,37,Analyst,Mumbai,Certification Seeker,Standard,599,3,14,9,0.64,3.3,14,12,N,0,UPI,1,Y
L00233,23,Consultant,Mumbai,Certification Seeker,Standard,599,6,9,8,0.89,6.5,10,11,N,0,UPI,0,Y
L00234,31,Marketing Executive,Jaipur,Working Professional,Pro,999,6,7,4,0.57,6.1,12,2,Y,14,Card,1,Y
L00235,33,Ex-Operations,Mumbai,Career Switcher,Premium,1499,11,1,1,1.0,5.1,10,5,N,0,Netbanking,1,Y
L00236,29,Sales Executive,Pune,Working Professional,Standard,599,5,9,5,0.56,8.1,14,18,N,0,Netbanking,2,Y
L00237,18,Student,Pune,College Student,Standard,599,5,9,4,0.44,3.8,14,19,N,0,UPI,3,N
L00238,41,Homemaker,Jaipur,Casual Learner,Premium,1499,5,10,4,0.4,3.7,4,69,N,0,Card,2,N
L00239,22,Student,Chennai,College Student,Standard,599,3,8,4,0.5,7.9,12,11,Y,15,Card,2,N
L00240,19,Student,Ahmedabad,College Student,Standard,599,6,2,1,0.5,4.6,13,18,Y,27,UPI,3,N
L00241,34,Sales Executive,Pune,Working Professional,Standard,599,3,10,7,0.7,4.8,11,10,N,0,Wallet,0,Y
L00242,42,Homemaker,Jaipur,Casual Learner,Basic,299,3,4,1,0.25,1.6,1,20,N,0,Card,5,N
L00243,25,Marketing Executive,Ahmedabad,Working Professional,Pro,999,7,9,5,0.56,6.6,15,12,Y,9,UPI,2,N
L00244,25,Ex-Teacher,Hyderabad,Career Switcher,Standard,599,6,5,3,0.6,7.2,9,12,Y,13,Netbanking,2,Y
L00245,35,Ex-Operations,Delhi NCR,Career Switcher,Standard,599,8,15,12,0.8,7.5,11,5,N,0,UPI,0,Y
L00246,26,Software Engineer,Delhi NCR,Power Learner,Pro,999,12,5,5,1.0,16.5,20,3,N,0,UPI,0,Y
L00247,25,Ex-Teacher,Bengaluru,Career Switcher,Pro,999,7,4,3,0.75,5.9,12,15,N,0,UPI,1,Y
L00248,22,Student,Delhi NCR,College Student,Basic,299,2,13,6,0.46,5.6,13,7,Y,14,Card,2,N
L00249,31,Entrepreneur,Pune,Power Learner,Pro,999,9,1,1,1.0,15.0,23,3,Y,6,UPI,1,Y
L00250,22,Student,Bengaluru,College Student,Pro,999,11,2,1,0.5,3.6,8,16,N,0,UPI,2,Y
L00251,38,Ex-Teacher,Bengaluru,Career Switcher,Premium,1499,1,15,9,0.6,5.1,10,5,N,0,Netbanking,0,Y
L00252,25,Sales Executive,Ahmedabad,Working Professional,Premium,1499,5,13,10,0.77,9.0,15,13,Y,6,UPI,0,Y
L00253,37,Manager,Delhi NCR,Certification Seeker,Pro,999,6,2,2,1.0,6.1,8,15,N,0,Wallet,0,Y
L00254,25,Unemployed (Upskilling),Hyderabad,Career Switcher,Premium,1499,11,12,8,0.67,11.1,16,3,N,0,Netbanking,3,Y
L00255,23,Software Engineer,Delhi NCR,Certification Seeker,Standard,599,8,6,5,0.83,7.3,8,2,N,0,Netbanking,0,Y
L00256,37,Ex-Operations,Hyderabad,Career Switcher,Basic,299,8,8,6,0.75,10.6,15,2,N,0,Wallet,0,Y
L00257,32,HR Executive,Mumbai,Working Professional,Pro,999,10,11,8,0.73,9.8,12,16,N,0,Netbanking,1,N
L00258,45,Retired,Chennai,Casual Learner,Basic,299,10,2,1,0.5,2.6,6,66,Y,23,UPI,2,N
L00259,34,Unemployed (Upskilling),Chennai,Career Switcher,Pro,999,1,12,9,0.75,11.3,15,4,N,0,UPI,1,Y
L00260,21,Student,Jaipur,College Student,Standard,599,4,11,4,0.36,7.0,5,26,N,0,UPI,4,Y
L00261,29,Ex-Operations,Mumbai,Career Switcher,Pro,999,1,13,10,0.77,8.9,14,15,N,0,Card,0,N
L00262,21,Student,Ahmedabad,College Student,Basic,299,10,6,3,0.5,8.4,7,17,N,0,Wallet,1,Y
L00263,34,Unemployed (Upskilling),Chennai,Career Switcher,Pro,999,9,5,3,0.6,9.4,11,6,N,0,Card,1,Y
L00264,28,Homemaker,Chennai,Casual Learner,Basic,299,10,15,5,0.33,2.5,6,73,N,0,Netbanking,4,N
L00265,25,Ex-Operations,Delhi NCR,Career Switcher,Basic,299,1,3,2,0.67,6.4,10,9,N,0,Netbanking,1,N
L00266,21,Student,Hyderabad,College Student,Standard,599,9,1,1,1.0,4.7,12,18,N,0,Wallet,1,N
L00267,30,Software Engineer,Mumbai,Power Learner,Premium,1499,4,12,12,1.0,16.2,27,1,N,0,Netbanking,0,Y
L00268,29,Entrepreneur,Delhi NCR,Power Learner,Premium,1499,2,7,6,0.86,11.9,22,0,N,0,Netbanking,0,Y
L00269,22,Analyst,Jaipur,Certification Seeker,Pro,999,3,15,9,0.6,3.2,11,19,N,0,Netbanking,3,N
L00270,27,Ex-Marketer,Hyderabad,Career Switcher,Premium,1499,9,9,6,0.67,5.5,16,5,N,0,Netbanking,1,N
L00271,35,Ex-Marketer,Pune,Career Switcher,Standard,599,10,6,3,0.5,8.7,16,0,N,0,Card,0,Y
L00272,25,Sales Executive,Pune,Working Professional,Pro,999,5,9,6,0.67,4.1,16,11,N,0,UPI,2,N
L00273,22,Student,Bengaluru,College Student,Basic,299,9,11,5,0.45,5.7,14,4,N,0,Wallet,0,Y
L00274,35,Software Engineer,Delhi NCR,Certification Seeker,Basic,299,12,13,8,0.62,4.7,7,2,N,0,UPI,1,N
L00275,31,Sales Executive,Ahmedabad,Working Professional,Standard,599,7,10,7,0.7,8.0,16,0,Y,12,UPI,0,Y
L00276,28,Data Analyst,Bengaluru,Working Professional,Standard,599,8,4,2,0.5,6.3,8,15,Y,9,Netbanking,1,Y
L00277,33,Software Engineer,Delhi NCR,Certification Seeker,Standard,599,1,2,2,1.0,5.9,12,17,N,0,Netbanking,0,Y
L00278,29,Ex-Banker,Delhi NCR,Career Switcher,Standard,599,5,15,11,0.73,6.4,10,1,N,0,Wallet,0,Y
L00279,18,Student,Jaipur,College Student,Pro,999,6,10,4,0.4,2.9,14,15,Y,14,Wallet,3,Y
L00280,29,Unemployed (Upskilling),Chennai,Career Switcher,Pro,999,7,12,9,0.75,6.2,13,7,N,0,Wallet,1,N
L00281,23,Student,Jaipur,College Student,Standard,599,6,11,4,0.36,7.4,11,35,N,0,Netbanking,2,N
L00282,23,Student,Bengaluru,College Student,Pro,999,9,10,5,0.5,6.4,13,37,Y,11,Netbanking,3,N
L00283,21,Student,Pune,College Student,Basic,299,9,11,6,0.55,5.6,10,23,Y,29,Card,1,Y
L00284,22,Student,Jaipur,College Student,Pro,999,1,6,2,0.33,3.5,11,14,Y,23,Netbanking,4,Y
L00285,24,Software Engineer,Chennai,Working Professional,Standard,599,9,10,7,0.7,7.8,12,8,Y,12,Netbanking,0,Y
L00286,27,HR Executive,Ahmedabad,Working Professional,Standard,599,6,15,8,0.53,6.9,15,19,Y,7,UPI,2,Y
L00287,20,Student,Hyderabad,College Student,Basic,299,6,10,5,0.5,7.0,11,30,Y,27,UPI,1,Y
L00288,30,Ex-Banker,Mumbai,Career Switcher,Premium,1499,3,7,5,0.71,5.4,12,5,N,0,UPI,1,N
L00289,22,Student,Jaipur,College Student,Basic,299,7,9,5,0.56,6.2,13,11,Y,24,Netbanking,3,Y
L00290,21,Student,Delhi NCR,College Student,Basic,299,4,10,7,0.7,5.7,12,26,Y,20,UPI,0,Y
L00291,25,Ex-Operations,Ahmedabad,Career Switcher,Pro,999,1,8,6,0.75,9.9,14,7,N,0,Wallet,1,Y
L00292,42,Part-time Worker,Bengaluru,Casual Learner,Basic,299,5,15,3,0.2,2.2,2,30,Y,15,UPI,1,N
L00293,18,Student,Hyderabad,College Student,Standard,599,6,10,5,0.5,4.9,5,9,Y,27,Wallet,2,Y
L00294,32,Data Scientist,Ahmedabad,Power Learner,Premium,1499,9,5,4,0.8,14.8,25,3,N,0,Wallet,0,Y
L00295,32,Ex-Operations,Delhi NCR,Career Switcher,Standard,599,9,11,6,0.55,7.8,13,1,Y,6,Card,3,N
L00296,25,Data Analyst,Hyderabad,Working Professional,Standard,599,10,9,7,0.78,4.2,14,12,N,0,UPI,0,Y
L00297,27,HR Executive,Pune,Working Professional,Standard,599,10,1,1,1.0,7.1,11,19,N,0,UPI,0,Y
L00298,21,Student,Ahmedabad,College Student,Basic,299,4,12,7,0.58,5.6,5,5,N,0,Netbanking,2,N
L00299,22,Student,Jaipur,College Student,Pro,999,10,9,5,0.56,2.0,6,26,Y,16,UPI,2,N
L00300,36,Student,Jaipur,Casual Learner,Pro,999,10,8,3,0.38,2.2,2,63,N,0,UPI,4,Y
L00301,23,Student,Hyderabad,College Student,Standard,599,7,14,5,0.36,8.7,12,34,Y,16,Wallet,3,Y
L00302,37,Analyst,Chennai,Certification Seeker,Standard,599,10,4,3,0.75,4.3,9,15,N,0,Netbanking,0,Y
L00303,33,Consultant,Bengaluru,Certification Seeker,Standard,599,2,14,8,0.57,6.4,13,19,N,0,UPI,3,Y
L00304,33,Data Analyst,Jaipur,Working Professional,Standard,599,9,9,5,0.56,5.7,11,18,N,0,Wallet,0,Y
L00305,34,Marketing Executive,Jaipur,Working Professional,Premium,1499,12,4,2,0.5,7.1,13,0,N,0,UPI,2,Y
L00306,27,Analyst,Hyderabad,Certification Seeker,Standard,599,10,7,5,0.71,4.7,8,15,N,0,Netbanking,1,N
L00307,19,Student,Hyderabad,College Student,Standard,599,12,7,4,0.57,3.9,7,35,Y,26,Card,3,N
L00308,21,Student,Chennai,College Student,Standard,599,5,12,6,0.5,3.8,13,3,Y,14,Netbanking,3,N
L00309,23,Student,Pune,College Student,Basic,299,9,2,1,0.5,5.9,8,22,Y,24,Card,1,N
L00310,29,HR Executive,Jaipur,Working Professional,Pro,999,8,11,7,0.64,9.3,14,19,N,0,Card,2,Y
L00311,37,Ex-Teacher,Bengaluru,Career Switcher,Standard,599,4,10,7,0.7,7.2,18,9,N,0,Netbanking,1,N
L00312,40,Manager,Ahmedabad,Certification Seeker,Standard,599,1,12,8,0.67,3.6,9,21,N,0,UPI,1,Y
L00313,18,Student,Mumbai,College Student,Basic,299,7,3,1,0.33,5.7,5,6,Y,29,Wallet,3,Y
L00314,32,Freelancer,Delhi NCR,Casual Learner,Basic,299,3,6,2,0.33,0.6,6,65,N,0,Wallet,5,N
L00315,29,Unemployed (Upskilling),Delhi NCR,Career Switcher,Pro,999,8,11,7,0.64,9.4,18,13,N,0,Netbanking,3,Y
L00316,32,Student,Chennai,Casual Learner,Basic,299,3,14,5,0.36,1.6,1,86,Y,16,UPI,4,N
L00317,24,Sales Executive,Pune,Working Professional,Pro,999,1,7,6,0.86,7.3,11,13,N,0,Card,1,N
L00318,18,Student,Hyderabad,College Student,Standard,599,10,12,6,0.5,7.7,14,17,Y,15,Card,0,Y
L00319,34,Sales Executive,Jaipur,Working Professional,Standard,599,10,9,5,0.56,7.0,13,0,Y,15,Netbanking,2,Y
L00320,24,Marketing Executive,Bengaluru,Working Professional,Standard,599,8,8,6,0.75,5.3,14,9,N,0,Wallet,0,Y
L00321,26,Software Engineer,Pune,Certification Seeker,Pro,999,2,5,4,0.8,5.7,8,6,N,0,UPI,0,N
L00322,30,Retired,Hyderabad,Casual Learner,Standard,599,1,4,1,0.25,1.2,6,32,Y,24,Netbanking,3,Y
L00323,41,Part-time Worker,Bengaluru,Casual Learner,Basic,299,11,4,2,0.5,1.5,3,26,N,0,Card,3,Y
L00324,20,Student,Ahmedabad,College Student,Standard,599,1,3,2,0.67,8.8,13,30,Y,12,Card,3,Y
L00325,26,Ex-Teacher,Chennai,Career Switcher,Pro,999,12,6,4,0.67,8.8,9,4,N,0,Netbanking,3,Y
L00326,21,Student,Delhi NCR,College Student,Basic,299,1,12,6,0.5,5.4,11,35,Y,21,Netbanking,2,N
L00327,22,Student,Bengaluru,College Student,Standard,599,8,1,0,0.0,4.1,8,34,N,0,Wallet,2,N
L00328,36,Unemployed (Upskilling),Hyderabad,Career Switcher,Standard,599,2,11,6,0.55,9.6,16,12,N,0,Card,2,Y
L00329,28,Ex-Teacher,Bengaluru,Career Switcher,Basic,299,3,4,2,0.5,6.3,8,6,Y,11,Wallet,3,Y
L00330,26,Homemaker,Chennai,Casual Learner,Basic,299,12,14,6,0.43,0.7,2,82,Y,26,UPI,2,N
L00331,35,Analyst,Mumbai,Certification Seeker,Pro,999,5,4,2,0.5,5.6,7,9,N,0,UPI,0,N
L00332,31,Ex-Banker,Hyderabad,Career Switcher,Pro,999,3,13,9,0.69,8.9,16,13,N,0,Netbanking,3,N
L00333,25,Marketing Executive,Delhi NCR,Working Professional,Pro,999,9,8,7,0.88,6.0,10,17,N,0,Netbanking,1,N
L00334,34,Sales Executive,Chennai,Working Professional,Pro,999,10,5,4,0.8,7.3,14,17,N,0,Wallet,1,N
L00335,18,Student,Mumbai,College Student,Standard,599,5,1,1,1.0,2.0,7,13,N,0,Netbanking,0,Y
L00336,26,Marketing Executive,Pune,Working Professional,Standard,599,10,7,4,0.57,5.5,12,9,N,0,Card,0,Y
L00337,23,Retired,Bengaluru,Casual Learner,Basic,299,5,1,0,0.0,0.6,5,68,N,0,Netbanking,3,N
L00338,25,Marketing Executive,Mumbai,Working Professional,Pro,999,11,9,5,0.56,6.3,12,16,N,0,Netbanking,1,Y
L00339,37,Ex-Operations,Bengaluru,Career Switcher,Standard,599,5,8,5,0.62,10.5,10,4,N,0,UPI,3,Y
L00340,30,Marketing Executive,Delhi NCR,Working Professional,Pro,999,4,12,9,0.75,6.9,11,17,N,0,Card,0,Y
L00341,34,HR Executive,Bengaluru,Working Professional,Standard,599,7,10,6,0.6,6.5,13,6,N,0,Netbanking,1,N
L00342,39,Unemployed (Upskilling),Delhi NCR,Career Switcher,Pro,999,4,14,10,0.71,6.4,13,4,Y,12,Card,0,N
L00343,22,Analyst,Bengaluru,Certification Seeker,Standard,599,8,4,3,0.75,3.1,9,23,N,0,Netbanking,1,Y
L00344,42,Software Engineer,Ahmedabad,Power Learner,Premium,1499,11,4,3,0.75,15.3,24,1,N,0,Netbanking,0,Y
L00345,22,Entrepreneur,Pune,Power Learner,Premium,1499,11,15,12,0.8,13.6,21,0,N,0,Card,1,Y
L00346,28,Retired,Bengaluru,Casual Learner,Basic,299,9,15,2,0.13,3.9,5,22,Y,17,Wallet,2,Y
L00347,29,Student,Hyderabad,Casual Learner,Premium,1499,9,15,6,0.4,1.5,1,52,N,0,UPI,2,N
L00348,30,Marketing Executive,Bengaluru,Working Professional,Pro,999,9,3,2,0.67,9.8,11,13,N,0,Netbanking,2,Y
L00349,23,Student,Hyderabad,College Student,Pro,999,5,15,8,0.53,6.8,12,8,N,0,Card,1,Y
L00350,28,Ex-Banker,Chennai,Career Switcher,Pro,999,3,5,4,0.8,10.1,13,13,N,0,Netbanking,0,N
L00351,19,Student,Pune,College Student,Standard,599,10,6,4,0.67,3.6,7,14,Y,26,Card,3,Y
L00352,30,Sales Executive,Jaipur,Working Professional,Standard,599,4,7,6,0.86,5.4,14,0,N,0,Card,0,Y
L00353,36,Manager,Chennai,Certification Seeker,Pro,999,4,7,6,0.86,5.1,6,19,N,0,Wallet,0,Y
L00354,24,Marketing Executive,Ahmedabad,Working Professional,Premium,1499,1,4,3,0.75,7.3,16,20,N,0,Wallet,1,N
L00355,26,Sales Executive,Pune,Working Professional,Pro,999,1,8,6,0.75,8.1,10,14,Y,10,Card,0,Y
L00356,24,Marketing Executive,Jaipur,Working Professional,Pro,999,12,12,8,0.67,9.4,15,2,N,0,Card,0,Y
L00357,38,Student,Bengaluru,Casual Learner,Basic,299,7,7,2,0.29,3.0,5,40,Y,13,Netbanking,5,N
L00358,27,Consultant,Delhi NCR,Certification Seeker,Pro,999,1,8,7,0.88,5.1,10,23,N,0,Card,0,N
L00359,20,Consultant,Mumbai,Power Learner,Premium,1499,8,10,8,0.8,15.4,20,3,N,0,Wallet,1,Y
L00360,25,Ex-Banker,Pune,Career Switcher,Pro,999,9,1,1,1.0,10.7,11,1,N,0,UPI,0,Y
L00361,34,Ex-Marketer,Bengaluru,Career Switcher,Basic,299,7,12,8,0.67,12.0,10,9,N,0,Card,3,N
L00362,24,Software Engineer,Pune,Working Professional,Standard,599,7,8,5,0.62,8.9,14,17,Y,12,Netbanking,2,Y
L00363,31,Unemployed (Upskilling),Mumbai,Career Switcher,Standard,599,12,12,8,0.67,11.9,16,2,N,0,Netbanking,3,Y
L00364,32,HR Executive,Chennai,Working Professional,Premium,1499,10,13,9,0.69,7.4,16,20,Y,11,Netbanking,1,Y
L00365,23,Student,Hyderabad,College Student,Standard,599,7,11,6,0.55,4.9,9,22,Y,23,Netbanking,2,N
L00366,32,HR Executive,Chennai,Working Professional,Pro,999,2,10,8,0.8,8.1,13,12,N,0,Card,0,Y
L00367,34,Sales Executive,Jaipur,Working Professional,Pro,999,11,14,10,0.71,4.8,10,20,N,0,Netbanking,1,N
L00368,35,Software Engineer,Pune,Working Professional,Pro,999,11,11,7,0.64,5.9,16,0,N,0,Netbanking,0,N
L00369,24,Data Analyst,Ahmedabad,Working Professional,Pro,999,3,14,10,0.71,7.4,14,5,N,0,Netbanking,1,Y
L00370,18,Student,Hyderabad,College Student,Basic,299,5,13,5,0.38,3.5,8,11,Y,14,UPI,4,Y
L00371,34,Freelancer,Hyderabad,Casual Learner,Basic,299,8,3,1,0.33,3.1,5,59,N,0,UPI,5,N
L00372,23,Student,Jaipur,College Student,Basic,299,9,10,6,0.6,2.8,8,2,N,0,Netbanking,3,N
L00373,23,Student,Mumbai,College Student,Standard,599,5,5,2,0.4,6.5,7,20,Y,16,Wallet,0,Y
L00374,18,Student,Bengaluru,College Student,Basic,299,6,13,9,0.69,5.8,8,9,Y,15,UPI,2,Y
L00375,31,Software Engineer,Delhi NCR,Working Professional,Basic,299,11,7,4,0.57,4.3,14,1,Y,11,Wallet,2,Y
L00376,40,Part-time Worker,Bengaluru,Casual Learner,Pro,999,8,5,1,0.2,2.5,1,79,N,0,Wallet,4,N
L00377,22,Student,Chennai,College Student,Basic,299,12,1,1,1.0,8.4,9,20,Y,12,Wallet,1,Y
L00378,29,HR Executive,Delhi NCR,Working Professional,Pro,999,7,2,1,0.5,8.9,9,10,N,0,Wallet,3,Y
L00379,19,Student,Jaipur,College Student,Basic,299,6,7,5,0.71,3.5,13,27,N,0,Netbanking,0,Y
L00380,40,Ex-Teacher,Jaipur,Career Switcher,Standard,599,2,2,2,1.0,10.8,10,9,N,0,Wallet,1,Y
L00381,27,Ex-Banker,Delhi NCR,Career Switcher,Premium,1499,11,5,3,0.6,10.7,10,4,N,0,Wallet,1,Y
L00382,31,Analyst,Ahmedabad,Certification Seeker,Pro,999,6,7,6,0.86,8.0,6,19,N,0,Netbanking,0,Y
L00383,26,Ex-Teacher,Chennai,Career Switcher,Standard,599,5,7,5,0.71,11.1,11,13,N,0,Wallet,1,Y
L00384,30,Ex-Operations,Delhi NCR,Career Switcher,Standard,599,7,14,8,0.57,10.9,13,13,N,0,Card,0,Y
L00385,23,Student,Ahmedabad,College Student,Premium,1499,3,15,10,0.67,2.6,14,26,N,0,Wallet,1,Y
L00386,31,Sales Executive,Chennai,Working Professional,Standard,599,7,5,4,0.8,7.6,15,7,N,0,Netbanking,0,N
L00387,36,Ex-Teacher,Jaipur,Career Switcher,Premium,1499,2,2,1,0.5,6.0,16,8,N,0,UPI,1,Y
L00388,39,Homemaker,Pune,Casual Learner,Basic,299,6,15,4,0.27,2.4,1,80,Y,25,Wallet,3,N
L00389,27,Freelancer,Mumbai,Casual Learner,Standard,599,10,8,1,0.12,3.1,6,53,N,0,UPI,3,N
L00390,34,Ex-Operations,Bengaluru,Career Switcher,Standard,599,2,5,3,0.6,11.0,12,8,N,0,Netbanking,0,N
L00391,29,Ex-Operations,Chennai,Career Switcher,Pro,999,5,9,5,0.56,10.5,11,15,N,0,Netbanking,0,N
L00392,29,Ex-Operations,Ahmedabad,Career Switcher,Pro,999,4,12,7,0.58,9.6,18,5,N,0,UPI,2,N
L00393,19,Student,Ahmedabad,College Student,Standard,599,8,12,6,0.5,7.2,12,14,Y,15,Wallet,0,Y
L00394,30,Student,Mumbai,Casual Learner,Basic,299,9,5,1,0.2,2.7,4,54,N,0,Netbanking,5,N
L00395,41,Freelancer,Hyderabad,Casual Learner,Basic,299,11,11,3,0.27,2.9,2,60,Y,11,Wallet,1,N
L00396,29,Freelancer,Pune,Casual Learner,Basic,299,1,11,5,0.45,0.6,1,27,N,0,Card,0,N
L00397,22,Student,Ahmedabad,College Student,Standard,599,11,5,3,0.6,6.0,6,7,Y,23,UPI,3,N
L00398,21,Student,Pune,College Student,Basic,299,2,1,1,1.0,3.9,4,24,Y,26,Card,1,Y
L00399,26,Entrepreneur,Delhi NCR,Power Learner,Premium,1499,2,2,2,1.0,11.4,26,1,N,0,Netbanking,0,Y
L00400,23,Student,Jaipur,College Student,Basic,299,8,11,8,0.73,3.0,14,0,Y,13,Netbanking,1,Y
L00401,31,Sales Executive,Ahmedabad,Working Professional,Standard,599,12,7,4,0.57,8.7,9,17,N,0,Wallet,0,Y
L00402,33,Analyst,Pune,Certification Seeker,Standard,599,11,6,5,0.83,8.0,7,11,Y,10,Netbanking,0,Y
L00403,21,Student,Pune,College Student,Standard,599,2,11,4,0.36,6.4,9,31,Y,14,UPI,2,Y
L00404,27,Entrepreneur,Ahmedabad,Power Learner,Standard,599,9,1,1,1.0,16.4,27,3,Y,6,UPI,1,Y
L00405,39,Part-time Worker,Jaipur,Casual Learner,Pro,999,9,1,0,0.0,1.0,5,49,N,0,Wallet,1,N
L00406,23,Consultant,Delhi NCR,Certification Seeker,Basic,299,11,10,6,0.6,3.2,10,25,Y,11,UPI,0,Y
L00407,25,Homemaker,Hyderabad,Casual Learner,Basic,299,12,10,4,0.4,2.9,3,35,Y,16,Card,0,Y
L00408,25,Data Analyst,Delhi NCR,Working Professional,Pro,999,3,15,10,0.67,8.2,16,5,N,0,Card,0,N
L00409,37,Ex-Banker,Mumbai,Career Switcher,Premium,1499,2,10,7,0.7,5.0,10,2,N,0,Wallet,1,Y
L00410,23,Student,Jaipur,College Student,Basic,299,3,8,3,0.38,6.3,4,38,N,0,UPI,3,Y
L00411,19,Student,Bengaluru,College Student,Premium,1499,2,13,6,0.46,6.3,12,32,N,0,Card,2,Y
L00412,19,Student,Jaipur,College Student,Basic,299,11,7,3,0.43,8.5,4,23,Y,22,Wallet,0,Y
L00413,22,Student,Delhi NCR,College Student,Standard,599,8,10,6,0.6,5.6,5,15,N,0,Wallet,1,N
L00414,29,Software Engineer,Chennai,Certification Seeker,Standard,599,4,2,2,1.0,6.7,9,12,N,0,Wallet,0,N
L00415,22,Student,Delhi NCR,College Student,Basic,299,3,5,2,0.4,5.2,7,40,Y,13,UPI,2,Y
L00416,36,Manager,Delhi NCR,Certification Seeker,Pro,999,4,10,8,0.8,7.4,8,25,N,0,Card,0,Y
L00417,31,Unemployed (Upskilling),Jaipur,Career Switcher,Pro,999,5,7,4,0.57,5.1,14,7,N,0,Card,0,Y
L00418,21,Student,Ahmedabad,College Student,Standard,599,8,2,1,0.5,7.7,5,28,N,0,UPI,3,N
L00419,20,Student,Bengaluru,College Student,Basic,299,11,1,1,1.0,4.1,11,36,N,0,Wallet,0,N
L00420,29,Sales Executive,Mumbai,Working Professional,Premium,1499,2,7,4,0.57,6.3,13,16,N,0,Card,0,N
L00421,24,HR Executive,Chennai,Working Professional,Premium,1499,2,6,3,0.5,6.3,15,19,Y,11,UPI,1,Y
L00422,32,Software Engineer,Jaipur,Working Professional,Pro,999,10,15,10,0.67,9.2,11,7,N,0,Wallet,2,Y
L00423,31,Sales Executive,Bengaluru,Working Professional,Pro,999,9,6,4,0.67,8.1,16,9,N,0,UPI,1,N
L00424,25,Sales Executive,Delhi NCR,Working Professional,Standard,599,2,8,6,0.75,4.7,12,3,Y,7,UPI,1,Y
L00425,22,Retired,Chennai,Casual Learner,Basic,299,12,14,2,0.14,2.8,3,44,N,0,Netbanking,4,N
L00426,35,Ex-Operations,Jaipur,Career Switcher,Pro,999,10,4,3,0.75,5.9,12,5,N,0,Netbanking,0,Y
L00427,26,HR Executive,Delhi NCR,Working Professional,Pro,999,5,2,1,0.5,5.1,10,4,Y,8,Card,3,Y
L00428,22,Student,Chennai,College Student,Premium,1499,3,2,1,0.5,4.6,12,10,N,0,Wallet,3,N
L00429,30,Data Scientist,Mumbai,Power Learner,Premium,1499,9,5,4,0.8,19.8,25,2,N,0,Card,1,Y
L00430,21,Student,Delhi NCR,College Student,Standard,599,2,8,5,0.62,4.2,10,39,Y,17,Card,1,N
L00431,24,Homemaker,Bengaluru,Casual Learner,Basic,299,8,8,2,0.25,2.9,1,85,Y,22,UPI,3,N
L00432,31,Student,Ahmedabad,Casual Learner,Basic,299,5,2,1,0.5,1.7,3,77,Y,28,Wallet,3,N
L00433,31,Retired,Delhi NCR,Casual Learner,Standard,599,10,14,4,0.29,0.8,2,58,Y,17,Wallet,1,Y
L00434,33,Ex-Operations,Delhi NCR,Career Switcher,Pro,999,12,7,4,0.57,9.0,10,6,N,0,Wallet,0,N
L00435,33,Data Analyst,Jaipur,Working Professional,Pro,999,8,11,7,0.64,5.3,8,4,N,0,Wallet,0,Y
L00436,35,Consultant,Jaipur,Certification Seeker,Premium,1499,11,2,1,0.5,4.2,7,24,N,0,Netbanking,3,Y
L00437,37,Software Engineer,Chennai,Certification Seeker,Standard,599,10,3,2,0.67,3.1,10,5,N,0,Card,2,Y
L00438,21,Student,Mumbai,College Student,Basic,299,9,11,5,0.45,6.5,5,32,Y,12,Card,2,N
L00439,31,Analyst,Chennai,Certification Seeker,Basic,299,10,5,3,0.6,4.8,8,0,N,0,Wallet,3,Y
L00440,25,Consultant,Delhi NCR,Certification Seeker,Standard,599,4,9,7,0.78,7.0,14,19,N,0,UPI,1,Y
L00441,19,Student,Jaipur,College Student,Basic,299,12,6,3,0.5,4.5,11,38,Y,16,UPI,1,Y
L00442,40,Freelancer,Pune,Casual Learner,Basic,299,3,13,2,0.15,3.9,4,34,Y,19,Card,1,Y
L00443,26,Ex-Operations,Bengaluru,Career Switcher,Premium,1499,1,13,9,0.69,5.5,18,0,Y,11,Card,1,Y
